X index=152  Silence=25 	 Ade=5.00 	 Gua=5.00 	 Thy=11.00 	 Cyt=4.00 
X index=152  Silence=50 	 Ade=14.00 	 Gua=6.00 	 Thy=21.00 	 Cyt=9.00 
X index=152  Silence=75 	 Ade=17.00 	 Gua=12.00 	 Thy=37.00 	 Cyt=9.00 
X index=152  Silence=100 	 Ade=24.00 	 Gua=18.00 	 Thy=46.00 	 Cyt=12.00 
X index=375  Silence=25 	 Ade=6.00 	 Gua=4.00 	 Thy=8.00 	 Cyt=7.00 
X index=375  Silence=50 	 Ade=17.00 	 Gua=13.00 	 Thy=11.00 	 Cyt=9.00 
X index=375  Silence=75 	 Ade=22.00 	 Gua=19.00 	 Thy=21.00 	 Cyt=13.00 
X index=375  Silence=100 	 Ade=33.00 	 Gua=22.00 	 Thy=30.00 	 Cyt=15.00 
X index=408  Silence=25 	 Ade=4.00 	 Gua=1.00 	 Thy=12.00 	 Cyt=8.00 
X index=408  Silence=50 	 Ade=10.00 	 Gua=7.00 	 Thy=21.00 	 Cyt=11.00 
X index=408  Silence=75 	 Ade=18.00 	 Gua=14.00 	 Thy=27.00 	 Cyt=15.00 
X index=408  Silence=100 	 Ade=25.00 	 Gua=20.00 	 Thy=35.00 	 Cyt=19.00 
X index=643  Silence=25 	 Ade=7.00 	 Gua=3.00 	 Thy=13.00 	 Cyt=2.00 
X index=643  Silence=50 	 Ade=20.00 	 Gua=4.00 	 Thy=23.00 	 Cyt=3.00 
X index=643  Silence=75 	 Ade=27.00 	 Gua=8.00 	 Thy=30.00 	 Cyt=10.00 
X index=643  Silence=100 	 Ade=39.00 	 Gua=13.00 	 Thy=36.00 	 Cyt=12.00 
X index=687  Silence=25 	 Ade=6.00 	 Gua=6.00 	 Thy=11.00 	 Cyt=2.00 
X index=687  Silence=50 	 Ade=14.00 	 Gua=10.00 	 Thy=20.00 	 Cyt=5.00 
X index=687  Silence=75 	 Ade=21.00 	 Gua=13.00 	 Thy=33.00 	 Cyt=7.00 
X index=687  Silence=100 	 Ade=31.00 	 Gua=15.00 	 Thy=43.00 	 Cyt=10.00 
X index=720  Silence=25 	 Ade=2.00 	 Gua=5.00 	 Thy=12.00 	 Cyt=6.00 
X index=720  Silence=50 	 Ade=9.00 	 Gua=11.00 	 Thy=19.00 	 Cyt=10.00 
X index=720  Silence=75 	 Ade=15.00 	 Gua=15.00 	 Thy=30.00 	 Cyt=14.00 
X index=720  Silence=100 	 Ade=22.00 	 Gua=17.00 	 Thy=43.00 	 Cyt=16.00 
X index=1148  Silence=25 	 Ade=5.00 	 Gua=5.00 	 Thy=8.00 	 Cyt=7.00 
X index=1148  Silence=50 	 Ade=17.00 	 Gua=10.00 	 Thy=14.00 	 Cyt=9.00 
X index=1148  Silence=75 	 Ade=22.00 	 Gua=13.00 	 Thy=27.00 	 Cyt=13.00 
X index=1148  Silence=100 	 Ade=32.00 	 Gua=19.00 	 Thy=33.00 	 Cyt=16.00 
X index=1362  Silence=25 	 Ade=7.00 	 Gua=4.00 	 Thy=8.00 	 Cyt=6.00 
X index=1362  Silence=50 	 Ade=19.00 	 Gua=7.00 	 Thy=18.00 	 Cyt=6.00 
X index=1362  Silence=75 	 Ade=31.00 	 Gua=10.00 	 Thy=24.00 	 Cyt=10.00 
X index=1362  Silence=100 	 Ade=39.00 	 Gua=14.00 	 Thy=27.00 	 Cyt=20.00 
X index=1532  Silence=25 	 Ade=5.00 	 Gua=2.00 	 Thy=12.00 	 Cyt=6.00 
X index=1532  Silence=50 	 Ade=16.00 	 Gua=4.00 	 Thy=21.00 	 Cyt=9.00 
X index=1532  Silence=75 	 Ade=24.00 	 Gua=7.00 	 Thy=30.00 	 Cyt=14.00 
X index=1532  Silence=100 	 Ade=34.00 	 Gua=10.00 	 Thy=38.00 	 Cyt=18.00 
X index=3102  Silence=25 	 Ade=13.00 	 Gua=2.00 	 Thy=3.00 	 Cyt=7.00 
X index=3102  Silence=50 	 Ade=20.00 	 Gua=7.00 	 Thy=12.00 	 Cyt=11.00 
X index=3102  Silence=75 	 Ade=28.00 	 Gua=10.00 	 Thy=21.00 	 Cyt=16.00 
X index=3102  Silence=100 	 Ade=35.00 	 Gua=15.00 	 Thy=29.00 	 Cyt=21.00 
X index=3679  Silence=25 	 Ade=9.00 	 Gua=3.00 	 Thy=11.00 	 Cyt=2.00 
X index=3679  Silence=50 	 Ade=15.00 	 Gua=8.00 	 Thy=25.00 	 Cyt=2.00 
X index=3679  Silence=75 	 Ade=28.00 	 Gua=11.00 	 Thy=32.00 	 Cyt=4.00 
X index=3679  Silence=100 	 Ade=38.00 	 Gua=19.00 	 Thy=36.00 	 Cyt=7.00 
X index=3931  Silence=25 	 Ade=8.00 	 Gua=6.00 	 Thy=7.00 	 Cyt=4.00 
X index=3931  Silence=50 	 Ade=15.00 	 Gua=9.00 	 Thy=18.00 	 Cyt=8.00 
